request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=82850,c-t-id,82850,"WESSON JR, HERB J",c-t-eid,6398585,"WESSON JR, HERB J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,636,"ASSEMBLY DISTRICT 047",c-t-ico,I,Incumbent,1554,4824918.14
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=79056,c-t-id,79056,"DANIELS, LEE A",c-t-eid,13000043,"DANIELS, LEE A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2002,2002,c-r-t,1,Standard,c-r-osid,2232,"HOUSE DISTRICT 046",c-t-ico,I,Incumbent,1647,3067788.66
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=80627,c-t-id,80627,"PERZEL, JOHN M",c-t-eid,13006070,"PERZEL, JOHN M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2002,2002,c-r-t,1,Standard,c-r-osid,6609,"HOUSE DISTRICT 172",c-t-ico,I,Incumbent,3374,2694007.65
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=80784,c-t-id,80784,"MADIGAN, MICHAEL J",c-t-eid,2704205,"MADIGAN, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2002,2002,c-r-t,1,Standard,c-r-osid,2208,"HOUSE DISTRICT 022",c-t-ico,I,Incumbent,757,2020807.02
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=33013,c-t-id,33013,"HALL, VINCE",c-t-eid,13008867,"HALL, VINCE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,667,"ASSEMBLY DISTRICT 078",c-t-ico,O,Open,1632,1737120.66
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=82849,c-t-id,82849,"MATTHEWS, BARBARA S",c-t-eid,13008510,"MATTHEWS, BARBARA S",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,606,"ASSEMBLY DISTRICT 017",c-t-ico,I,Incumbent,1261,1703072.00
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=33018,c-t-id,33018,"ACUNA JR, JOEY",c-t-eid,12388052,"ACUNA JR, JOEY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,669,"ASSEMBLY DISTRICT 080",c-t-ico,O,Open,781,1701418.84
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=82893,c-t-id,82893,"PARRA, NICOLE M",c-t-eid,13008583,"PARRA, NICOLE M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,619,"ASSEMBLY DISTRICT 030",c-t-ico,O,Open,905,1554027.50
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=82839,c-t-id,82839,"HOUSTON, GUY",c-t-eid,2565688,"HOUSTON, GUY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,604,"ASSEMBLY DISTRICT 015",c-t-ico,O,Open,1505,1450195.06
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=82913,c-t-id,82913,"FIREBAUGH, MARCO ANTONIO",c-t-eid,13008699,"FIREBAUGH, MARCO ANTONIO",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,639,"ASSEMBLY DISTRICT 050",c-t-ico,I,Incumbent,879,1414862.41
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=30054,c-t-id,30054,"GERBER, DONNA",c-t-eid,6379528,"GERBER, DONNA",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,604,"ASSEMBLY DISTRICT 015",c-t-ico,O,Open,1092,1357868.45
dt=1&y=2002&c-exi=1&c-r-ot=H&c-t-id=81217,c-t-id,81217,"BLACK, JAMES B (JIM)",c-t-eid,13003931,"BLACK, JAMES B (JIM)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NC,NC,y,2002,2002,c-r-t,1,Standard,c-r-osid,4809,"HOUSE DISTRICT 100",c-t-ico,O,Open,1356,1318019.00
