request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309388,c-t-id,309388,"HARMON, DONALD F (DON)",c-t-eid,3024041,"HARMON, DONALD F (DON)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2343,"SENATE DISTRICT 039",c-t-ico,I,Incumbent,2710,28252688.11
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309364,c-t-id,309364,"MCCONCHIE, DANIEL",c-t-eid,13907968,"MCCONCHIE, DANIEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2330,"SENATE DISTRICT 026",c-t-ico,I,Incumbent,1436,7042595.37
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=305499,c-t-id,305499,"LAMANTIA, MORGAN",c-t-eid,54451981,"LAMANTIA, MORGAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2022,2022,c-r-t,1,Standard,c-r-osid,7550,"SENATE DISTRICT 027",c-t-ico,O,Open,698,6338328.12
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=318371,c-t-id,318371,"HURTADO, MELISSA",c-t-eid,44493605,"HURTADO, MELISSA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2022,2022,c-r-t,1,Standard,c-r-osid,685,"SENATE DISTRICT 016",c-t-ico,I,Incumbent,1109,5563852.05
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=318402,c-t-id,318402,"BLAKESPEAR, CATHERINE",c-t-eid,55433586,"BLAKESPEAR, CATHERINE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2022,2022,c-r-t,1,Standard,c-r-osid,707,"SENATE DISTRICT 038",c-t-ico,O,Open,2203,4690767.16
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309406,c-t-id,309406,"TURNER, DORIS",c-t-eid,23425276,"TURNER, DORIS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2352,"SENATE DISTRICT 048",c-t-ico,I,Incumbent,476,4064831.37
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309360,c-t-id,309360,"GLOWIAK HILTON, SUZANNE (SUZY)",c-t-eid,20876848,"GLOWIAK HILTON, SUZANNE (SUZY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2327,"SENATE DISTRICT 023",c-t-ico,I,Incumbent,396,3719234.43
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309384,c-t-id,309384,"HALPIN, MICHAEL W (MIKE)",c-t-eid,38445085,"HALPIN, MICHAEL W (MIKE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2340,"SENATE DISTRICT 036",c-t-ico,O,Open,391,3518451.51
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309422,c-t-id,309422,"BELT, CHRISTOPHER",c-t-eid,44164147,"BELT, CHRISTOPHER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2361,"SENATE DISTRICT 057",c-t-ico,I,Incumbent,713,3478798.13
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=305431,c-t-id,305431,"WHITMIRE, JOHN HARRIS",c-t-eid,6387098,"WHITMIRE, JOHN HARRIS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2022,2022,c-r-t,1,Standard,c-r-osid,7538,"SENATE DISTRICT 015",c-t-ico,I,Incumbent,1105,3463537.01
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=318825,c-t-id,318825,"ROGERS, WENDY",c-t-eid,17657680,"ROGERS, WENDY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AZ,AZ,y,2022,2022,c-r-t,1,Standard,c-r-osid,488,"SENATE DISTRICT 007",c-t-ico,I,Incumbent,72213,3306556.29
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=309391,c-t-id,309391,"JOYCE, PATRICK J",c-t-eid,48524751,"JOYCE, PATRICK J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2022,2022,c-r-t,1,Standard,c-r-osid,2344,"SENATE DISTRICT 040",c-t-ico,I,Incumbent,416,3207742.39
dt=1&y=2022&c-exi=1&c-r-ot=S&c-t-id=311960,c-t-id,311960,"WHITVER, JACK",c-t-eid,12999588,"WHITVER, JACK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IA,IA,y,2022,2022,c-r-t,1,Standard,c-r-osid,1875,"SENATE DISTRICT 023",c-t-ico,I,Incumbent,1813,3073714.68
