request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=139263,c-t-id,139263,"JONES JR, EMIL",c-t-eid,3091564,"JONES JR, EMIL",c-t-ftsts,Withdrew-General,Withdrew-General,c-t-sts,7,Withdrew,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2008,2008,c-r-t,1,Standard,c-r-osid,2318,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,2432,4821469.94
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=139335,c-t-id,139335,"FUMO, VINCENT J",c-t-eid,13013333,"FUMO, VINCENT J",c-t-ftsts,Withdrew-General,Withdrew-General,c-t-sts,7,Withdrew,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6641,"SENATE DISTRICT 001",c-t-ico,I,Incumbent,1204,4545358.82
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=60500,c-t-id,60500,"JACKSON, HANNAH-BETH",c-t-eid,160620,"JACKSON, HANNAH-BETH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,688,"SENATE DISTRICT 019",c-t-ico,O,Open,1762,4346182.68
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=117144,c-t-id,117144,"STRICKLAND, ANTHONY A (TONY)",c-t-eid,6601271,"STRICKLAND, ANTHONY A (TONY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,688,"SENATE DISTRICT 019",c-t-ico,O,Open,1585,4188702.01
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=120554,c-t-id,120554,"ATWATER, JEFFREY H",c-t-eid,1012275,"ATWATER, JEFFREY H",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2008,2008,c-r-t,1,Standard,c-r-osid,1284,"SENATE DISTRICT 025",c-t-ico,I,Incumbent,7275,2741576.33
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=117888,c-t-id,117888,"ZAFFARINI, JUDITH",c-t-eid,10244494,"ZAFFARINI, JUDITH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7544,"SENATE DISTRICT 021",c-t-ico,I,Incumbent,1966,2683225.54
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=64335,c-t-id,64335,"BRIMER, KENNETH KIMBERLIN",c-t-eid,6582511,"BRIMER, KENNETH KIMBERLIN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7533,"SENATE DISTRICT 010",c-t-ico,I,Incumbent,1538,2591105.03
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=122695,c-t-id,122695,"CARONA SR, JOHN J",c-t-eid,2043497,"CARONA SR, JOHN J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7539,"SENATE DISTRICT 016",c-t-ico,I,Incumbent,1777,2337803.87
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=122707,c-t-id,122707,"DAVIS, WENDY R",c-t-eid,6497154,"DAVIS, WENDY R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7533,"SENATE DISTRICT 010",c-t-ico,C,Challenger,2009,2184992.47
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=118289,c-t-id,118289,"SCARNATI III, JOSEPH B",c-t-eid,13013380,"SCARNATI III, JOSEPH B",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6667,"SENATE DISTRICT 025",c-t-ico,I,Incumbent,1636,2166587.56
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=118266,c-t-id,118266,"PILEGGI, DOMINIC A",c-t-eid,4679891,"PILEGGI, DOMINIC A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6649,"SENATE DISTRICT 009",c-t-ico,I,Incumbent,1809,2138976.36
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=117344,c-t-id,117344,"WATSON, FRANK",c-t-eid,13011851,"WATSON, FRANK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2008,2008,c-r-t,1,Standard,c-r-osid,2355,"SENATE DISTRICT 051",c-t-ico,I,Incumbent,1728,2112041.28
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=117118,c-t-id,117118,"WOLK, LOIS",c-t-eid,2230653,"WOLK, LOIS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,674,"SENATE DISTRICT 005",c-t-ico,O,Open,1622,2028913.55
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=116989,c-t-id,116989,"MALDONADO, ABEL",c-t-eid,28456,"MALDONADO, ABEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,684,"SENATE DISTRICT 015",c-t-ico,I,Incumbent,1577,2003439.62
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=60491,c-t-id,60491,"AGHAZARIAN, GREGORY G",c-t-eid,13008511,"AGHAZARIAN, GREGORY G",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,674,"SENATE DISTRICT 005",c-t-ico,O,Open,1067,1899528.74
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=116850,c-t-id,116850,"LIBOUS, THOMAS W",c-t-eid,6640401,"LIBOUS, THOMAS W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2008,2008,c-r-t,1,Standard,c-r-osid,5954,"SENATE DISTRICT 052",c-t-ico,I,Incumbent,1896,1854327.75
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=116837,c-t-id,116837,"KLEIN, JEFFREY D",c-t-eid,13009287,"KLEIN, JEFFREY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2008,2008,c-r-t,1,Standard,c-r-osid,5936,"SENATE DISTRICT 034",c-t-ico,I,Incumbent,1625,1810711.70
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=60474,c-t-id,60474,"MALTESE, SERPHIN R",c-t-eid,4693246,"MALTESE, SERPHIN R",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2008,2008,c-r-t,1,Standard,c-r-osid,5917,"SENATE DISTRICT 015",c-t-ico,I,Incumbent,1607,1777305.23
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=117116,c-t-id,117116,"LENO, MARK R",c-t-eid,22531,"LENO, MARK R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,672,"SENATE DISTRICT 003",c-t-ico,O,Open,2116,1752396.25
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=116919,c-t-id,116919,"SMITH, MALCOLM A",c-t-eid,13013029,"SMITH, MALCOLM A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2008,2008,c-r-t,1,Standard,c-r-osid,5916,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,1435,1730792.53
dt=1&y=2008&c-exi=1&c-r-ot=S&c-t-id=18300,c-t-id,18300,"MIGDEN, CAROLE V",c-t-eid,1167477,"MIGDEN, CAROLE V",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,672,"SENATE DISTRICT 003",c-t-ico,I,Incumbent,2218,1715683.47
