request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=110743,c-t-id,110743,"WATSON, FRANK",c-t-eid,13011851,"WATSON, FRANK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2006,2006,c-r-t,1,Standard,c-r-osid,2355,"SENATE DISTRICT 051",c-t-ico,I,Incumbent,4127,5264688.75
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=58341,c-t-id,58341,"DAUCHER, LYNN",c-t-eid,6601407,"DAUCHER, LYNN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,703,"SENATE DISTRICT 034",c-t-ico,O,Open,2199,3517535.17
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=111494,c-t-id,111494,"CORREA, LOU",c-t-eid,6398747,"CORREA, LOU",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,703,"SENATE DISTRICT 034",c-t-ico,O,Open,737,3059440.98
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=15036,c-t-id,15036,"SLOSBERG, IRVING (IRV)",c-t-eid,70342,"SLOSBERG, IRVING (IRV)",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,FL,FL,y,2006,2006,c-r-t,1,Standard,c-r-osid,1289,"SENATE DISTRICT 030",c-t-ico,O,Open,251,3007663.18
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=110993,c-t-id,110993,"DENHAM, JEFF",c-t-eid,13008566,"DENHAM, JEFF",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,681,"SENATE DISTRICT 012",c-t-ico,I,Incumbent,2159,2961383.79
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=16892,c-t-id,16892,"JUBELIRER, ROBERT",c-t-eid,4882495,"JUBELIRER, ROBERT",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2006,2006,c-r-t,1,Standard,c-r-osid,6672,"SENATE DISTRICT 030",c-t-ico,I,Incumbent,2172,2429605.81
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=16841,c-t-id,16841,"BRIGHTBILL, DAVID J",c-t-eid,6568422,"BRIGHTBILL, DAVID J",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2006,2006,c-r-t,1,Standard,c-r-osid,6690,"SENATE DISTRICT 048",c-t-ico,I,Incumbent,1814,2052897.22
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=55834,c-t-id,55834,"SPANO, NICHOLAS A",c-t-eid,6640635,"SPANO, NICHOLAS A",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2006,2006,c-r-t,1,Standard,c-r-osid,5937,"SENATE DISTRICT 035",c-t-ico,I,Incumbent,2216,1961226.17
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=15401,c-t-id,15401,"MADLA, FRANK",c-t-eid,13013634,"MADLA, FRANK",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2006,2006,c-r-t,1,Standard,c-r-osid,7542,"SENATE DISTRICT 019",c-t-ico,I,Incumbent,1320,1943230.82
dt=1&y=2006&c-exi=1&c-r-ot=S&c-t-id=111037,c-t-id,111037,"PADILLA, ALEX",c-t-eid,6468901,"PADILLA, ALEX",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,689,"SENATE DISTRICT 020",c-t-ico,O,Open,1701,1941891.66
