request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117281,c-t-id,117281,"MADIGAN, MICHAEL J",c-t-eid,2704205,"MADIGAN, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2008,2008,c-r-t,1,Standard,c-r-osid,2208,"HOUSE DISTRICT 022",c-t-ico,I,Incumbent,1222,3867064.92
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=118162,c-t-id,118162,"EVANS, DWIGHT",c-t-eid,13006152,"EVANS, DWIGHT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6640,"HOUSE DISTRICT 203",c-t-ico,I,Incumbent,2666,3387002.29
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117113,c-t-id,117113,"BLOCK, MARTY",c-t-eid,6485591,"BLOCK, MARTY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,667,"ASSEMBLY DISTRICT 078",c-t-ico,O,Open,1237,2868704.51
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=60496,c-t-id,60496,"FLOREZ, FRAN",c-t-eid,606050,"FLOREZ, FRAN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,619,"ASSEMBLY DISTRICT 030",c-t-ico,O,Open,626,2850158.62
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117225,c-t-id,117225,"CROSS, TOM",c-t-eid,13000168,"CROSS, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2008,2008,c-r-t,1,Standard,c-r-osid,2270,"HOUSE DISTRICT 084",c-t-ico,I,Incumbent,1541,2845734.28
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117142,c-t-id,117142,"PEREZ, V MANUEL",c-t-eid,6485714,"PEREZ, V MANUEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,669,"ASSEMBLY DISTRICT 080",c-t-ico,O,Open,786,2674314.51
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=122702,c-t-id,122702,"CRADDICK, TOM",c-t-eid,6582620,"CRADDICK, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7455,"HOUSE DISTRICT 082",c-t-ico,I,Incumbent,1180,2564396.48
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117115,c-t-id,117115,"BUCHANAN, JOAN T",c-t-eid,21966,"BUCHANAN, JOAN T",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,604,"ASSEMBLY DISTRICT 015",c-t-ico,O,Open,1594,2503489.00
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=118260,c-t-id,118260,"PERZEL, JOHN M",c-t-eid,13006070,"PERZEL, JOHN M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6609,"HOUSE DISTRICT 172",c-t-ico,I,Incumbent,1280,2353412.63
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=60501,c-t-id,60501,"JEANDRON, GARY",c-t-eid,783046,"JEANDRON, GARY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,669,"ASSEMBLY DISTRICT 080",c-t-ico,O,Open,822,2282579.79
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117007,c-t-id,117007,"VILLINES, MICHAEL N",c-t-eid,791867,"VILLINES, MICHAEL N",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,618,"ASSEMBLY DISTRICT 029",c-t-ico,I,Incumbent,1207,1816557.70
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117125,c-t-id,117125,"GILMORE, DANNY D",c-t-eid,6669279,"GILMORE, DANNY D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,619,"ASSEMBLY DISTRICT 030",c-t-ico,O,Open,1145,1777576.92
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116952,c-t-id,116952,"BASS, KAREN",c-t-eid,22511,"BASS, KAREN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,636,"ASSEMBLY DISTRICT 047",c-t-ico,I,Incumbent,1299,1728251.57
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=118154,c-t-id,118154,"DEWEESE, H WILLIAM",c-t-eid,13005655,"DEWEESE, H WILLIAM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2008,2008,c-r-t,1,Standard,c-r-osid,6487,"HOUSE DISTRICT 050",c-t-ico,I,Incumbent,1033,1683830.62
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117923,c-t-id,117923,"DOLAN, MATTHEW J (MATT)",c-t-eid,2678118,"DOLAN, MATTHEW J (MATT)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2008,2008,c-r-t,1,Standard,c-r-osid,6091,"HOUSE DISTRICT 098",c-t-ico,I,Incumbent,1822,1660330.30
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=122688,c-t-id,122688,"BRANCH, DANIEL H (DAN)",c-t-eid,6582499,"BRANCH, DANIEL H (DAN)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7481,"HOUSE DISTRICT 108",c-t-ico,I,Incumbent,1176,1546863.81
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=64375,c-t-id,64375,"GARCIA, JUAN M",c-t-eid,6469483,"GARCIA, JUAN M",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7405,"HOUSE DISTRICT 032",c-t-ico,I,Incumbent,1314,1492666.21
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=60508,c-t-id,60508,"MCCANN, JOHN",c-t-eid,13008887,"MCCANN, JOHN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,667,"ASSEMBLY DISTRICT 078",c-t-ico,O,Open,564,1388532.21
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117907,c-t-id,117907,"BUDISH, ARMOND",c-t-eid,13004505,"BUDISH, ARMOND",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,OH,OH,y,2008,2008,c-r-t,1,Standard,c-r-osid,6001,"HOUSE DISTRICT 008",c-t-ico,I,Incumbent,1075,1373797.56
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116988,c-t-id,116988,"MA, FIONA",c-t-eid,1403023,"MA, FIONA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,601,"ASSEMBLY DISTRICT 012",c-t-ico,I,Incumbent,1386,1303851.03
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117005,c-t-id,117005,"TORRICO, ALBERTO",c-t-eid,777369,"TORRICO, ALBERTO",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,609,"ASSEMBLY DISTRICT 020",c-t-ico,I,Incumbent,812,1209654.50
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=60511,c-t-id,60511,"SIEGLOCK, JACK A",c-t-eid,6673807,"SIEGLOCK, JACK A",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,599,"ASSEMBLY DISTRICT 010",c-t-ico,O,Open,950,1204349.55
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117131,c-t-id,117131,"HUBER, ALYSON L",c-t-eid,6485668,"HUBER, ALYSON L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,599,"ASSEMBLY DISTRICT 010",c-t-ico,O,Open,460,1194801.06
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116993,c-t-id,116993,"PORTANTINO, ANTHONY J",c-t-eid,22560,"PORTANTINO, ANTHONY J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,633,"ASSEMBLY DISTRICT 044",c-t-ico,I,Incumbent,1313,1183303.78
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116965,c-t-id,116965,"DE LEON, KEVIN",c-t-eid,2322930,"DE LEON, KEVIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,634,"ASSEMBLY DISTRICT 045",c-t-ico,I,Incumbent,850,1182646.32
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116986,c-t-id,116986,"LIEU, TED W",c-t-eid,2451821,"LIEU, TED W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,642,"ASSEMBLY DISTRICT 053",c-t-ico,I,Incumbent,1165,1168029.19
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=116983,c-t-id,116983,"JONES, DAVE",c-t-eid,13008469,"JONES, DAVE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,598,"ASSEMBLY DISTRICT 009",c-t-ico,I,Incumbent,1343,1160099.31
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=122802,c-t-id,122802,"ROSE, PATRICK M",c-t-eid,6387018,"ROSE, PATRICK M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2008,2008,c-r-t,1,Standard,c-r-osid,7418,"HOUSE DISTRICT 045",c-t-ico,I,Incumbent,1463,1139920.37
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117263,c-t-id,117263,"HOFFMAN, JAY C",c-t-eid,6514695,"HOFFMAN, JAY C",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2008,2008,c-r-t,1,Standard,c-r-osid,2298,"HOUSE DISTRICT 112",c-t-ico,I,Incumbent,1295,1129820.72
dt=1&y=2008&c-exi=1&c-r-ot=H&c-t-id=117130,c-t-id,117130,"HILL, JERRY A",c-t-eid,6485659,"HILL, JERRY A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2008,2008,c-r-t,1,Standard,c-r-osid,608,"ASSEMBLY DISTRICT 019",c-t-ico,O,Open,1502,1107164.01
