request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=114266,c-t-id,114266,"PERZEL, JOHN M",c-t-eid,13006070,"PERZEL, JOHN M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2006,2006,c-r-t,1,Standard,c-r-osid,6609,"HOUSE DISTRICT 172",c-t-ico,I,Incumbent,3803,6838224.46
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=111034,c-t-id,111034,"NUNEZ, FABIAN",c-t-eid,13008677,"NUNEZ, FABIAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,635,"ASSEMBLY DISTRICT 046",c-t-ico,I,Incumbent,976,5862286.86
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=55408,c-t-id,55408,"SUTTON, MYRON M",c-t-eid,6470238,"SUTTON, MYRON M",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IN,IN,y,2006,2006,c-r-t,1,Standard,c-r-osid,2393,"HOUSE DISTRICT 015",c-t-ico,C,Challenger,158,3318101.96
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=111003,c-t-id,111003,"GALGIANI, CATHLEEN",c-t-eid,21639,"GALGIANI, CATHLEEN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,606,"ASSEMBLY DISTRICT 017",c-t-ico,O,Open,1499,3033057.28
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=110617,c-t-id,110617,"CROSS, TOM",c-t-eid,13000168,"CROSS, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2006,2006,c-r-t,1,Standard,c-r-osid,2270,"HOUSE DISTRICT 084",c-t-ico,I,Incumbent,1678,3024686.18
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=111254,c-t-id,111254,"CRADDICK, TOM",c-t-eid,6582620,"CRADDICK, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2006,2006,c-r-t,1,Standard,c-r-osid,7455,"HOUSE DISTRICT 082",c-t-ico,I,Incumbent,853,2734896.20
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=110681,c-t-id,110681,"MADIGAN, MICHAEL J",c-t-eid,2704205,"MADIGAN, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2006,2006,c-r-t,1,Standard,c-r-osid,2208,"HOUSE DISTRICT 022",c-t-ico,I,Incumbent,1010,2516836.76
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=111038,c-t-id,111038,"PARRA, NICOLE M",c-t-eid,13008583,"PARRA, NICOLE M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2006,2006,c-r-t,1,Standard,c-r-osid,619,"ASSEMBLY DISTRICT 030",c-t-ico,I,Incumbent,826,2213705.92
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=114173,c-t-id,114173,"EVANS, DWIGHT",c-t-eid,13006152,"EVANS, DWIGHT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2006,2006,c-r-t,1,Standard,c-r-osid,6640,"HOUSE DISTRICT 203",c-t-ico,I,Incumbent,2570,2151359.70
dt=1&y=2006&c-exi=1&c-r-ot=H&c-t-id=58114,c-t-id,58114,"VEON, MIKE",c-t-eid,13005515,"VEON, MIKE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2006,2006,c-r-t,1,Standard,c-r-osid,6451,"HOUSE DISTRICT 014",c-t-ico,I,Incumbent,1735,2137484.29
