request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=133596,c-t-id,133596,"STRAUS III, JOSEPH R (JOE)",c-t-eid,6667663,"STRAUS III, JOSEPH R (JOE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,7494,"HOUSE DISTRICT 121",c-t-ico,I,Incumbent,2989,6540399.46
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=135163,c-t-id,135163,"COOLEY, KEN",c-t-eid,717012,"COOLEY, KEN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,597,"ASSEMBLY DISTRICT 008",c-t-ico,O,Open,543,4112876.04
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=134055,c-t-id,134055,"MADIGAN, MICHAEL J",c-t-eid,2704205,"MADIGAN, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2012,2012,c-r-t,1,Standard,c-r-osid,2208,"HOUSE DISTRICT 022",c-t-ico,I,Incumbent,802,3337553.17
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=134023,c-t-id,134023,"CROSS, TOM",c-t-eid,13000168,"CROSS, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2012,2012,c-r-t,1,Standard,c-r-osid,2283,"HOUSE DISTRICT 097",c-t-ico,I,Incumbent,1194,2740227.59
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=130826,c-t-id,130826,"PEREZ, JOHN A",c-t-eid,774880,"PEREZ, JOHN A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,642,"ASSEMBLY DISTRICT 053",c-t-ico,I,Incumbent,1265,2617341.52
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=133517,c-t-id,133517,"BRANCH, DANIEL H (DAN)",c-t-eid,6582499,"BRANCH, DANIEL H (DAN)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,7481,"HOUSE DISTRICT 108",c-t-ico,I,Incumbent,1463,2592470.44
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=135190,c-t-id,135190,"MURATSUCHI, AL",c-t-eid,11022814,"MURATSUCHI, AL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,655,"ASSEMBLY DISTRICT 066",c-t-ico,O,Open,1225,2329905.49
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=71377,c-t-id,71377,"BUTLER, BETSY",c-t-eid,6503431,"BUTLER, BETSY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,639,"ASSEMBLY DISTRICT 050",c-t-ico,I,Incumbent,1235,2146324.68
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=71376,c-t-id,71376,"ALLEN, MICHAEL",c-t-eid,13008455,"ALLEN, MICHAEL",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,599,"ASSEMBLY DISTRICT 010",c-t-ico,I,Incumbent,754,2075397.05
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=135187,c-t-id,135187,"MEDINA, JOSE",c-t-eid,386803,"MEDINA, JOSE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,650,"ASSEMBLY DISTRICT 061",c-t-ico,O,Open,650,1965637.66
dt=1&y=2012&c-exi=1&c-r-ot=H&c-t-id=134196,c-t-id,134196,"BATCHELDER III, WILLIAM G",c-t-eid,2908453,"BATCHELDER III, WILLIAM G",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2012,2012,c-r-t,1,Standard,c-r-osid,6062,"HOUSE DISTRICT 069",c-t-ico,I,Incumbent,1620,1942353.57
