request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=79084,c-t-id,79084,"JONES JR, EMIL",c-t-eid,3091564,"JONES JR, EMIL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2002,2002,c-r-t,1,Standard,c-r-osid,2318,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,2455,4405564.84
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=33019,c-t-id,33019,"AREIAS, RUSTY",c-t-eid,6398731,"AREIAS, RUSTY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,681,"SENATE DISTRICT 012",c-t-ico,O,Open,1339,4154289.89
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=44370,c-t-id,44370,"ERISTOFF, ANDREW P SIDAMON",c-t-eid,5106667,"ERISTOFF, ANDREW P SIDAMON",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2002,2002,c-r-t,1,Standard,c-r-osid,5928,"SENATE DISTRICT 026",c-t-ico,C,Challenger,1281,3286943.16
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=79114,c-t-id,79114,"PHILIP, JAMES (PATE)",c-t-eid,6577578,"PHILIP, JAMES (PATE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2002,2002,c-r-t,1,Standard,c-r-osid,2327,"SENATE DISTRICT 023",c-t-ico,I,Incumbent,2270,3021774.30
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=78863,c-t-id,78863,"DUNN, JOSEPH LAWRENCE",c-t-eid,6379495,"DUNN, JOSEPH LAWRENCE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,703,"SENATE DISTRICT 034",c-t-ico,I,Incumbent,1419,2621294.92
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=103788,c-t-id,103788,"DENHAM, JEFF",c-t-eid,13008566,"DENHAM, JEFF",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,681,"SENATE DISTRICT 012",c-t-ico,O,Open,854,2406994.91
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=82921,c-t-id,82921,"POOCHIGIAN, CHARLES S",c-t-eid,6566757,"POOCHIGIAN, CHARLES S",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,683,"SENATE DISTRICT 014",c-t-ico,I,Incumbent,2350,1730746.81
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=96657,c-t-id,96657,"KRUEGER, ELIZABTH (LIZ)",c-t-eid,4532768,"KRUEGER, ELIZABTH (LIZ)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2002,2002,c-r-t,1,Standard,c-r-osid,5928,"SENATE DISTRICT 026",c-t-ico,I,Incumbent,1999,1626038.36
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=81174,c-t-id,81174,"BASNIGHT, MARC",c-t-eid,13012602,"BASNIGHT, MARC",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NC,NC,y,2002,2002,c-r-t,1,Standard,c-r-osid,4831,"SENATE DISTRICT 001",c-t-ico,I,Incumbent,1513,1571114.76
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=80287,c-t-id,80287,"CAREY JR, JOHN A",c-t-eid,3025919,"CAREY JR, JOHN A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2002,2002,c-r-t,1,Standard,c-r-osid,6110,"SENATE DISTRICT 017",c-t-ico,C,Challenger,975,1544201.84
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=82907,c-t-id,82907,"CHESBRO, WESLEY",c-t-eid,13008401,"CHESBRO, WESLEY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,671,"SENATE DISTRICT 002",c-t-ico,I,Incumbent,2111,1527197.99
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=82899,c-t-id,82899,"SPEIER, JACKIE",c-t-eid,12997061,"SPEIER, JACKIE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,677,"SENATE DISTRICT 008",c-t-ico,I,Incumbent,829,1495274.71
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=80386,c-t-id,80386,"ESTES, CRAIG",c-t-eid,6582770,"ESTES, CRAIG",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2002,2002,c-r-t,1,Standard,c-r-osid,7553,"SENATE DISTRICT 030",c-t-ico,I,Incumbent,2080,1468138.25
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=80295,c-t-id,80295,"COUGHLIN, KEVIN",c-t-eid,13004688,"COUGHLIN, KEVIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2002,2002,c-r-t,1,Standard,c-r-osid,6120,"SENATE DISTRICT 027",c-t-ico,I,Incumbent,699,1423247.41
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=82837,c-t-id,82837,"ORTIZ, DEBORAH V",c-t-eid,13010789,"ORTIZ, DEBORAH V",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2002,2002,c-r-t,1,Standard,c-r-osid,675,"SENATE DISTRICT 006",c-t-ico,I,Incumbent,885,1399095.66
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=80278,c-t-id,80278,"ARMBRUSTER, JEFFREY",c-t-eid,13013150,"ARMBRUSTER, JEFFREY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2002,2002,c-r-t,1,Standard,c-r-osid,6106,"SENATE DISTRICT 013",c-t-ico,I,Incumbent,1839,1376989.03
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=80409,c-t-id,80409,"HINOJOSA, JUAN (CHUY)",c-t-eid,10244371,"HINOJOSA, JUAN (CHUY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,TX,TX,y,2002,2002,c-r-t,1,Standard,c-r-osid,7543,"SENATE DISTRICT 020",c-t-ico,O,Open,917,1356582.95
dt=1&y=2002&c-exi=1&c-r-ot=S&c-t-id=96667,c-t-id,96667,"LIBOUS, THOMAS W",c-t-eid,6640401,"LIBOUS, THOMAS W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NY,NY,y,2002,2002,c-r-t,1,Standard,c-r-osid,5954,"SENATE DISTRICT 052",c-t-ico,I,Incumbent,2815,1325053.11
