request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86134,c-t-id,86134,"BURTON, JOHN L",c-t-eid,1288156,"BURTON, JOHN L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,672,"SENATE DISTRICT 003",c-t-ico,I,Incumbent,3596,11529589.00
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86163,c-t-id,86163,"JOHNSON, ROSS",c-t-eid,13011204,"JOHNSON, ROSS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,704,"SENATE DISTRICT 035",c-t-ico,I,Incumbent,1389,4306273.00
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86133,c-t-id,86133,"BRULTE, JAMES L",c-t-eid,6617052,"BRULTE, JAMES L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,700,"SENATE DISTRICT 031",c-t-ico,I,Incumbent,1410,4296828.00
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=96450,c-t-id,96450,"HEVESI, DANIEL R",c-t-eid,6437220,"HEVESI, DANIEL R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2000,2000,c-r-t,1,Standard,c-r-osid,5915,"SENATE DISTRICT 013",c-t-ico,I,Incumbent,6105,4056602.90
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=99575,c-t-id,99575,"STAPLES, D TODD",c-t-eid,6583367,"STAPLES, D TODD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2000,2000,c-r-t,1,Standard,c-r-osid,7526,"SENATE DISTRICT 003",c-t-ico,I,Incumbent,2354,3447376.08
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86212,c-t-id,86212,"TORLAKSON, TOM",c-t-eid,1418483,"TORLAKSON, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,676,"SENATE DISTRICT 007",c-t-ico,C,Challenger,993,3301085.47
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=36542,c-t-id,36542,"RAINEY, RICHARD K",c-t-eid,6617398,"RAINEY, RICHARD K",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,676,"SENATE DISTRICT 007",c-t-ico,I,Incumbent,2370,3144781.12
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86126,c-t-id,86126,"ALPERT, DEIRDRE",c-t-eid,6398773,"ALPERT, DEIRDRE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,708,"SENATE DISTRICT 039",c-t-ico,I,Incumbent,1539,2920688.85
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86203,c-t-id,86203,"SCOTT, JACK",c-t-eid,1798258,"SCOTT, JACK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,690,"SENATE DISTRICT 021",c-t-ico,O,Open,1264,2912157.00
dt=1&y=2000&c-exi=1&c-r-ot=S&c-t-id=86178,c-t-id,86178,"MACHADO, MICHAEL J",c-t-eid,6413790,"MACHADO, MICHAEL J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2000,2000,c-r-t,1,Standard,c-r-osid,674,"SENATE DISTRICT 005",c-t-ico,O,Open,1302,2570989.00
